"","long","lat","freq","hour"
"2062",121.539166,31.28771325,24335,7
"2063",121.550089429,31.28771325,14437,7
"2064",121.561012857,31.28771325,2362,7
"2065",121.571936286,31.28771325,5869,7
"2066",121.582859714,31.28771325,7446,7
"2067",121.593783143,31.28771325,4318,7
"2068",121.604706571,31.28771325,5949,7
"2069",121.61563,31.28771325,2382,7
"2070",121.626553429,31.28771325,870,7
"2071",121.637476857,31.28771325,1046,7
"2072",121.648400286,31.28771325,833,7
"2073",121.353467714,31.2967096071,5457,7
"2074",121.364391143,31.2967096071,3657,7
"2075",121.375314571,31.2967096071,5534,7
"2076",121.386238,31.2967096071,7366,7
"2077",121.397161429,31.2967096071,7702,7
"2078",121.408084857,31.2967096071,9183,7
"2079",121.419008286,31.2967096071,6003,7
"2080",121.429931714,31.2967096071,13871,7
"2081",121.440855143,31.2967096071,14537,7
"2082",121.451778571,31.2967096071,9059,7
"2083",121.462702,31.2967096071,20930,7
"2084",121.473625429,31.2967096071,33733,7
"2085",121.484548857,31.2967096071,21299,7
"2086",121.495472286,31.2967096071,17428,7
"2087",121.506395714,31.2967096071,25122,7
"2088",121.517319143,31.2967096071,13340,7
"2089",121.528242571,31.2967096071,18153,7
"2090",121.539166,31.2967096071,21112,7
"2091",121.550089429,31.2967096071,13100,7
"2092",121.561012857,31.2967096071,753,7
"2093",121.571936286,31.2967096071,4053,7
"2094",121.582859714,31.2967096071,4370,7
"2095",121.593783143,31.2967096071,1861,7
"2096",121.604706571,31.2967096071,5775,7
"2097",121.61563,31.2967096071,2741,7
"2098",121.626553429,31.2967096071,1257,7
"2099",121.637476857,31.2967096071,1440,7
"2100",121.648400286,31.2967096071,160,7
"2101",121.353467714,31.3057059643,2740,7
"2102",121.364391143,31.3057059643,4192,7
"2103",121.375314571,31.3057059643,2348,7
"2104",121.386238,31.3057059643,7578,7
"2105",121.397161429,31.3057059643,13890,7
"2106",121.408084857,31.3057059643,16227,7
"2107",121.419008286,31.3057059643,7342,7
"2108",121.429931714,31.3057059643,13537,7
"2109",121.440855143,31.3057059643,19443,7
"2110",121.451778571,31.3057059643,6301,7
"2111",121.462702,31.3057059643,14322,7
"2112",121.473625429,31.3057059643,16919,7
"2113",121.484548857,31.3057059643,30278,7
"2114",121.495472286,31.3057059643,21629,7
"2115",121.506395714,31.3057059643,19136,7
"2116",121.517319143,31.3057059643,17035,7
"2117",121.528242571,31.3057059643,21476,7
"2118",121.539166,31.3057059643,12473,7
"2119",121.550089429,31.3057059643,3581,7
"2120",121.561012857,31.3057059643,2852,7
"2121",121.571936286,31.3057059643,1292,7
"2122",121.582859714,31.3057059643,2704,7
"2123",121.593783143,31.3057059643,2009,7
"2124",121.604706571,31.3057059643,3549,7
"2125",121.61563,31.3057059643,2435,7
"2126",121.626553429,31.3057059643,3617,7
"2127",121.637476857,31.3057059643,1614,7
"2128",121.648400286,31.3057059643,1585,7
"2129",121.353467714,31.3147023214,4537,7
"2130",121.364391143,31.3147023214,4251,7
"2131",121.375314571,31.3147023214,13548,7
"2132",121.386238,31.3147023214,14778,7
"2133",121.397161429,31.3147023214,12123,7
"2134",121.408084857,31.3147023214,7678,7
"2135",121.419008286,31.3147023214,1437,7
"2136",121.429931714,31.3147023214,15988,7
"2137",121.440855143,31.3147023214,47720,7
"2138",121.451778571,31.3147023214,28692,7
"2139",121.462702,31.3147023214,9517,7
"2140",121.473625429,31.3147023214,7344,7
"2141",121.484548857,31.3147023214,36170,7
"2142",121.495472286,31.3147023214,12767,7
"2143",121.506395714,31.3147023214,8127,7
"2144",121.517319143,31.3147023214,19788,7
"2145",121.528242571,31.3147023214,22055,7
"2146",121.539166,31.3147023214,12333,7
"2147",121.550089429,31.3147023214,3078,7
"2148",121.561012857,31.3147023214,1971,7
"2149",121.571936286,31.3147023214,610,7
"2150",121.582859714,31.3147023214,1705,7
"2151",121.593783143,31.3147023214,829,7
"2152",121.604706571,31.3147023214,1001,7
"2153",121.61563,31.3147023214,2524,7
"2154",121.626553429,31.3147023214,3204,7
"2155",121.637476857,31.3147023214,2608,7
"2156",121.648400286,31.3147023214,44,7
"2157",121.353467714,31.3236986786,2518,7
"2158",121.364391143,31.3236986786,1355,7
"2159",121.375314571,31.3236986786,4344,7
"2160",121.386238,31.3236986786,12417,7
"2161",121.397161429,31.3236986786,6762,7
"2162",121.408084857,31.3236986786,2843,7
